seller_id,product_id,product_category_name,total_sales_dollars,total_sales_qty,total_freight_cost,net_revenue,profit_margin,unit_price,quadrant
0015a82c2db000af6aaaf3ae2ecb0532,a2ff5a97bf95719e38ea2e3b4105bce8,eletroportateis,2685.0,3,63.06,2621.94,97.65139661167547,894.9997016667661,Star
001cca7ae9ae17fb1caed9dfb1094831,08574b074924071f4e201e151b152b4e,ferramentas_jardim,10759.3,113,4460.53,6298.7699999999995,58.542563172460795,95.2150434051766,Cash Cow
001cca7ae9ae17fb1caed9dfb1094831,0da9ffd92214425d880de3f94e74ce39,construcao_ferramentas_construcao,1819.93,17,796.21,1023.72,56.250515098794715,107.05469958501767,Cash Cow
001cca7ae9ae17fb1caed9dfb1094831,21fecd254a3103704126b28478ea7980,ferramentas_jardim,337.0,3,114.64000000000001,222.35999999999999,65.98219564990447,112.33329588890136,Cash Cow
001cca7ae9ae17fb1caed9dfb1094831,4d7fee7877228c1497477ae53d97c214,construcao_ferramentas_construcao,178.0,2,69.02000000000001,108.97999999999999,61.224718757164496,88.99995550002224,Cash Cow
001cca7ae9ae17fb1caed9dfb1094831,4f3b83b83f7fb280fca4f90ba502f50e,ferramentas_jardim,99.5,1,35.07,64.43,64.75376819342948,99.49990050009951,Dog
001cca7ae9ae17fb1caed9dfb1094831,547b95702aec86f05ac37e61d164891c,ferramentas_jardim,2040.5,17,636.49,1404.01,68.80715507532116,120.02940470415265,Cash Cow
001cca7ae9ae17fb1caed9dfb1094831,6d15a14a5c04e3ef315ab136bd824d72,construcao_ferramentas_construcao,139.9,1,34.84,105.06,75.09649696142604,139.8998601001399,Dog
001cca7ae9ae17fb1caed9dfb1094831,86b22a03cb72239dd53996a67df35c63,construcao_ferramentas_construcao,658.0,6,332.88,325.12,49.410334271412864,109.66664838889193,Cash Cow
001cca7ae9ae17fb1caed9dfb1094831,98a8c2fa16d7239c606640f5555768e4,ferramentas_jardim,3325.9,30,1199.71,2126.19,63.92826000062291,110.86332963788901,Cash Cow
001cca7ae9ae17fb1caed9dfb1094831,d32f22e03fb01595aa10383f4364d303,construcao_ferramentas_construcao,129.9,1,36.14,93.76,72.17859836660048,129.8998701001299,Dog
001cca7ae9ae17fb1caed9dfb1094831,e251ebd2858be1aa7d9b2087a6992580,ferramentas_jardim,5592.1,48,1138.61,4453.490000000001,79.63895494006921,116.50208090620666,Star
001e6ad469a905060d959994f1b41e4f,093cd981b714bcdff182b427d87fc8fc,esporte_lazer,250.0,1,17.94,232.06,92.823999628704,249.99975000025003,Star
002100f778ceb8431b7a1020ff7ab48f,00d62d0388b0786d730a1aaed91c0ae0,moveis_decoracao,13.9,1,11.85,2.0500000000000007,14.748200377827317,13.899986100013901,Dog
002100f778ceb8431b7a1020ff7ab48f,158102fe543dbaeb84d87811bfe06d0d,moveis_decoracao,304.29999999999995,17,260.44,43.85999999999996,14.413407773863254,17.899998947058883,Cash Cow
